accidentially: accidentally
accomodate: accommodate
addedd: added
animtion: animation
appearence: appearance
apperance: appearance
arbitraty: arbitrary
assigment: assignment
attribue: attribute
augumented: augmented
auxilary: auxiliary
avilable: available
Bacekend: Backend
behaviour: behavior
behavioural: behavioral
capitalisation: capitalization
captitalize: capitalize
cirucit: circuit
ciruit: circuit
clasess: classes
coefficents: coefficients
coefficiets: coefficients
coeffients: coefficients
compatibilty: compatibility
Compatiblity: Compatibility
compatiblity: compatibility
componennt: component
Concatinate: Concatenate
concatination: concatenation
connecitvity: connectivity
consective: consecutive
consituent: constituent
constraind: constrained
constrol: control
contstructed: constructed
convered: covered
correclty: correctly
cound: could
customisable: customizable
decompositon: decomposition
decompostion: decomposition
deisgned: designed
Dependecy: Dependency
dependecy: dependency
dependences: dependencies
derviative: derivative
deserialisation: deserialization
diagonalisable: diagonalizable
diagonalisation: diagonalization
dictonary: dictionary
digonal: diagonal
draweing: drawing
echeod: echoed
efficent: efficient
encorporated: incorporated
enlargment: enlargement
evaluatation: evaluation
exeception: exception
exections: exceptions
exeriment: experiment
exicted: excited
exictedly: excitedly
exisiting: existing
Exlude: Exclude
expandin: expanding
expectatation: expectation
expirement: experiment
explicity: explicitly
explictly: explicitly
Fieldr: Field
finalised: finalized
fuction: function
functionalty: functionality
ginibre: ginibre
guarentee: guarantee
Hadmard: Hadamard
hapening: happening
hexademical: hexadecimal
identifer: identifier
implementatinos: implementations
Implemnted: Implemented
impliese: implies
incompatiblities: incompatibilities
independantly: independently
indeterminant: indeterminate
indicies: indices
indiviual: individual
inherets: inherits
initialisation: initialization
initialised: initialized
initialiser: initializer
initialises: initializes
initialising: initializing
inproperly: improperly
Instatiate: Instantiate
instructon: instruction
inteded: intended
interner: internet
intuively: intuitively
ketex: ketex
localised: localized
maanger: manager
maginized: marginalized
marganalize: marginalize
measuerment: measurement
measurment: measurement
microarcitecture: microarchitecture
minimising: minimizing
multipel: multiple
multiplciation: multiplication
multple: multiple
mutablitiy: mutability
mutiple: multiple
neccesary: necessary
neccessary: necessary
neigboring: neighboring
neighbour: neighbor
neighbours: neighbors
Normalise: Normalize
normalise: normalize
normalised: normalized
numba: number
numberical: numerical
numberious: numerous
obejct's: object's
obsevables: observables
occured: occurred
optimisation: optimization
optimise: optimize
optimised: optimized
optimising: optimizing
optmizer: optimizer
organisational: organizational
organised: organized
originial: original
originl: original
othogonal: orthogonal
ouput: output
Overap: Overlap
packge: package
Parameterisation: Parameterization
parameterisation: parameterization
parameterised: parameterized
parametrizing: parameterizing
parametr: parameter
parametrisation: parametrization
parametrised: parameterized
paramteres: parameters
paramterisation: parametrization
permuation: permutation
posibility: possibility
potentical: potential
previosuly: previously
priortize: prioritize
probabilbity: probability
probabilitiy: probability
probalility: probability
propety: property
propsed: proposed
randomisation: randomization
randomised: randomized
randomises: randomizes
rasterised: rasterized
recieve: receive
recognise: recognize
recognised: recognized
referes: refers
releated: related
reorganisation: reorganization
representaiton: representation
representating: representing
represnt: represent
represnts: represents
reprssentation: representation
requieres: requires
requried: required
rescalings: rescaling
Rescheduler: Rescheduler
rescheduler: rescheduler
resoluer: resolver
resposibility: responsibility
resue: reuse
resuls: results
resultes: results
rezist: resist
schdule: schedule
schedling: scheduling
scheudle: schedule
senarios: scenarios
seperate: separate
serialisation: serialization
serialising: serializing
shoud: should
shoulde: shoulder
shoule: should
significanlty: significantly
soluation: solution
specialised: specialized
stabilise: stabilize
stabilised: stabilized
subcicuits: subcircuits
substatial: substantial
succesors: successors
suppliede: supplied
susceptile: susceptible
synchronise: synchronize
synthesise: synthesize
synthesised: synthesized
tokenisation: tokenization
Tokenised: Tokenized
tokeniser: tokenizer
tokenizede: tokenized
uscaled: upscaled
utililties: utilities
vectorisation: vectorization
Verfiy: Verify
versison: version
Visualisation: Visualization
visualisation: visualization
visualisations: visualizations
visualised: visualized
wheter: whether
wiht: with
willl: will
